word,summary,read,mention,href,link,time_stamp
高考填志愿你会选汽车专业吗,今天是2023年 #高考# 的第一天，祝愿1291万参加高考的同学发挥出色、圆梦今夏、金榜题名！同时小编也想了解一下，各位同学填志愿的方向是什么？,30136666,1933,https://m.weibo.cn/api/container/getIndex?containerid=231522type%3D1%26q%3D%23高考填志愿你会选汽车专业吗%23%26t%3D10&title=%E7%83%AD%E9%97%A8-%23高考填志愿你会选汽车专业吗%23,https://s.weibo.com/weibo?q=%23高考填志愿你会选汽车专业吗%23,2023-06-08 15:24
为什么喜欢肖春生,来说一说你为什么喜欢肖春生,981067,1181,https://m.weibo.cn/api/container/getIndex?containerid=231522type%3D1%26q%3D%23为什么喜欢肖春生%23%26t%3D10&title=%E7%83%AD%E9%97%A8-%23为什么喜欢肖春生%23,https://s.weibo.com/weibo?q=%23为什么喜欢肖春生%23,2023-06-08 15:24
你当年选了文科还是理科,今天是高考第二天。刚刚，一些省份的高考历史和高考物理都结束了。祝考生们都能取得好成绩！  ​​​,10531025,328,https://m.weibo.cn/api/container/getIndex?containerid=231522type%3D1%26q%3D%23你当年选了文科还是理科%23%26t%3D10&title=%E7%83%AD%E9%97%A8-%23你当年选了文科还是理科%23,https://s.weibo.com/weibo?q=%23你当年选了文科还是理科%23,2023-06-08 15:24
中石油胡继勇事件是否存权色交易,国企领导与女子牵手逛街后被免职，这不只是桃色新闻,66503278,6121,https://m.weibo.cn/api/container/getIndex?containerid=231522type%3D1%26q%3D%23中石油胡继勇事件是否存权色交易%23%26t%3D10&title=%E7%83%AD%E9%97%A8-%23中石油胡继勇事件是否存权色交易%23,https://s.weibo.com/weibo?q=%23中石油胡继勇事件是否存权色交易%23,2023-06-08 15:24
如果丧尸爆发你觉得哪里最安全,如果丧尸爆发你觉得哪里最安全,89720694,3431,https://m.weibo.cn/api/container/getIndex?containerid=231522type%3D1%26q%3D%23如果丧尸爆发你觉得哪里最安全%23%26t%3D10&title=%E7%83%AD%E9%97%A8-%23如果丧尸爆发你觉得哪里最安全%23,https://s.weibo.com/weibo?q=%23如果丧尸爆发你觉得哪里最安全%23,2023-06-08 15:24
街拍究竟在拍什么,胡某勇与董某某逛街视频引发热议。而成都太古里、北京太古里等地，是不少人眼中的网红打卡地，在这里街拍的人不在少数。每每经过这里，野生摄影师的长枪短炮都让人亚历山大。许多网友可能会疑惑，街拍究竟怎么拍？是摆拍还是抓拍？,10803963,663,https://m.weibo.cn/api/container/getIndex?containerid=231522type%3D1%26q%3D%23街拍究竟在拍什么%23%26t%3D10&title=%E7%83%AD%E9%97%A8-%23街拍究竟在拍什么%23,https://s.weibo.com/weibo?q=%23街拍究竟在拍什么%23,2023-06-08 15:24
你认为高考还能改变命运吗,又是一年高考季，近日，沸点视频在北京街头，和大家聊聊你认为高考还能改变命运吗，没有上过一天学的北漂老奶奶说她希望孙女能上大学，人生顺利；参加过全国第一次高考的清洁工师傅说，高考是分水岭能改变你的一生；在大厂工作的年轻人说，对于一线城市来说，高考不是唯一的途径……高考改变了你的人生吗？欢迎在评论区分享。,4670763,360,https://m.weibo.cn/api/container/getIndex?containerid=231522type%3D1%26q%3D%23你认为高考还能改变命运吗%23%26t%3D10&title=%E7%83%AD%E9%97%A8-%23你认为高考还能改变命运吗%23,https://s.weibo.com/weibo?q=%23你认为高考还能改变命运吗%23,2023-06-08 15:24
被父母催婚应该怎么回复,欢迎带话题分享你的故事,1740256,1594,https://m.weibo.cn/api/container/getIndex?containerid=231522type%3D1%26q%3D%23被父母催婚应该怎么回复%23%26t%3D10&title=%E7%83%AD%E9%97%A8-%23被父母催婚应该怎么回复%23,https://s.weibo.com/weibo?q=%23被父母催婚应该怎么回复%23,2023-06-08 15:24
你愿意为了工作放弃头发吗,你愿意为了工作放弃头发吗,833015,256,https://m.weibo.cn/api/container/getIndex?containerid=231522type%3D1%26q%3D%23你愿意为了工作放弃头发吗%23%26t%3D10&title=%E7%83%AD%E9%97%A8-%23你愿意为了工作放弃头发吗%23,https://s.weibo.com/weibo?q=%23你愿意为了工作放弃头发吗%23,2023-06-08 15:24
如何看待董某某私人照片被爆出,近日，国企领导与异性牵手逛街被拍引发舆论关注，众多疑似当事女子董某某的私人照片在网络流传，你如何看待董某某私人照被爆出？ ​​​,4029192,108,https://m.weibo.cn/api/container/getIndex?containerid=231522type%3D1%26q%3D%23如何看待董某某私人照片被爆出%23%26t%3D10&title=%E7%83%AD%E9%97%A8-%23如何看待董某某私人照片被爆出%23,https://s.weibo.com/weibo?q=%23如何看待董某某私人照片被爆出%23,2023-06-08 15:24
为啥一到高考就下雨,你那里今天下雨了吗？,5892731,963,https://m.weibo.cn/api/container/getIndex?containerid=231522type%3D1%26q%3D%23为啥一到高考就下雨%23%26t%3D10&title=%E7%83%AD%E9%97%A8-%23为啥一到高考就下雨%23,https://s.weibo.com/weibo?q=%23为啥一到高考就下雨%23,2023-06-08 15:24
理想主义有错吗,《梦中的那片海》我真的想哭，台词太绝了，理想主义在呐喊！,571212,1096,https://m.weibo.cn/api/container/getIndex?containerid=231522type%3D1%26q%3D%23理想主义有错吗%23%26t%3D10&title=%E7%83%AD%E9%97%A8-%23理想主义有错吗%23,https://s.weibo.com/weibo?q=%23理想主义有错吗%23,2023-06-08 15:24
为什么你觉得现在好男生这么少,哎,3733625,830,https://m.weibo.cn/api/container/getIndex?containerid=231522type%3D1%26q%3D%23为什么你觉得现在好男生这么少%23%26t%3D10&title=%E7%83%AD%E9%97%A8-%23为什么你觉得现在好男生这么少%23,https://s.weibo.com/weibo?q=%23为什么你觉得现在好男生这么少%23,2023-06-08 15:24
马嘉祺藏哪儿了,马嘉祺你藏哪儿了呀哈哈哈感觉很隐蔽的样子,17059389,8302,https://m.weibo.cn/api/container/getIndex?containerid=231522type%3D1%26q%3D%23马嘉祺藏哪儿了%23%26t%3D10&title=%E7%83%AD%E9%97%A8-%23马嘉祺藏哪儿了%23,https://s.weibo.com/weibo?q=%23马嘉祺藏哪儿了%23,2023-06-08 15:24
你知道卖凉菜需要许可吗,近日，上海米帆餐饮管理有限公司金桥分公司因未经许可从事食品生产经营或食品添加剂生产活动，被上海市浦东新区市场监督管理局罚款5千元。,11552122,555,https://m.weibo.cn/api/container/getIndex?containerid=231522type%3D1%26q%3D%23你知道卖凉菜需要许可吗%23%26t%3D10&title=%E7%83%AD%E9%97%A8-%23你知道卖凉菜需要许可吗%23,https://s.weibo.com/weibo?q=%23你知道卖凉菜需要许可吗%23,2023-06-08 15:24
腰肌劳损为什么盯上了年轻人,让我康康谁还在跷二郎腿,4769807,2058,https://m.weibo.cn/api/container/getIndex?containerid=231522type%3D1%26q%3D%23腰肌劳损为什么盯上了年轻人%23%26t%3D10&title=%E7%83%AD%E9%97%A8-%23腰肌劳损为什么盯上了年轻人%23,https://s.weibo.com/weibo?q=%23腰肌劳损为什么盯上了年轻人%23,2023-06-08 15:24
你都用过哪些减肥办法,近日，据外媒报道，美国一57岁男子通过连吃100天麦当劳的方式减肥，体重由108公斤降至81.4公斤。你都用过哪些减肥办法？,488505,25,https://m.weibo.cn/api/container/getIndex?containerid=231522type%3D1%26q%3D%23你都用过哪些减肥办法%23%26t%3D10&title=%E7%83%AD%E9%97%A8-%23你都用过哪些减肥办法%23,https://s.weibo.com/weibo?q=%23你都用过哪些减肥办法%23,2023-06-08 15:24
如何看待流浪猫问题,2017年，在《BiologicalConservation》上的一篇论文指出：学者们通过对之前93例研究鸟类在澳大利亚猫食谱中所占比例的报道，和对于该国流浪猫数量的最新估计，估算出澳大利亚全国每年有3.77亿只鸟类被流浪猫猎杀。如果我们决定养猫，就要做好对它负责的思想准备，不要随便丢弃。虽然大家忍不住会心疼城市里四处流窜的流浪猫，但还是要控制好自己的同理心，谨慎投喂，毕竟它们的杀伤力远比我们想象中厉害得多。,332869,35,https://m.weibo.cn/api/container/getIndex?containerid=231522type%3D1%26q%3D%23如何看待流浪猫问题%23%26t%3D10&title=%E7%83%AD%E9%97%A8-%23如何看待流浪猫问题%23,https://s.weibo.com/weibo?q=%23如何看待流浪猫问题%23,2023-06-08 15:24
父母过度保护孩子会造成什么危害,保护孩子是父母的本能，但过度保护可能会危害到孩子的健康成长。 父母过度保护孩子会造成什么危害？ ​,600395,68,https://m.weibo.cn/api/container/getIndex?containerid=231522type%3D1%26q%3D%23父母过度保护孩子会造成什么危害%23%26t%3D10&title=%E7%83%AD%E9%97%A8-%23父母过度保护孩子会造成什么危害%23,https://s.weibo.com/weibo?q=%23父母过度保护孩子会造成什么危害%23,2023-06-08 15:24
你有办购物卡的消费习惯吗,家乐福购物卡消费再次调整。近日，有消费者持500元购物卡到店消费时被告知，结账时仅20%金额可使用购物卡结算。,1069621,53,https://m.weibo.cn/api/container/getIndex?containerid=231522type%3D1%26q%3D%23你有办购物卡的消费习惯吗%23%26t%3D10&title=%E7%83%AD%E9%97%A8-%23你有办购物卡的消费习惯吗%23,https://s.weibo.com/weibo?q=%23你有办购物卡的消费习惯吗%23,2023-06-08 15:24
高考后有什么事值得做,你觉得在高考完的这2个月的假期，有什么事情值得一做。,1157242,1145,https://m.weibo.cn/api/container/getIndex?containerid=231522type%3D1%26q%3D%23高考后有什么事值得做%23%26t%3D10&title=%E7%83%AD%E9%97%A8-%23高考后有什么事值得做%23,https://s.weibo.com/weibo?q=%23高考后有什么事值得做%23,2023-06-08 15:24
骑行真的快乐吗,你喜欢骑行吗，骑行的乐趣是什么？,2915385,2424,https://m.weibo.cn/api/container/getIndex?containerid=231522type%3D1%26q%3D%23骑行真的快乐吗%23%26t%3D10&title=%E7%83%AD%E9%97%A8-%23骑行真的快乐吗%23,https://s.weibo.com/weibo?q=%23骑行真的快乐吗%23,2023-06-08 15:24
当孩子问起死亡该怎么回答,死亡教育，远远不该在发生家庭变故时才开始，孩子从1岁半开始就接触到“生命”：地上的落叶、死去的昆虫、或是自己的宠物离世……死亡教育绘本《爷爷变成了幽灵》帮助成人和小孩一起谈论“死亡”，消除我们内心深处对这类话题的害怕、恐惧和不安，真正地帮助孩子理解“死亡”，同时也收获活着的力量。,889364,1473,https://m.weibo.cn/api/container/getIndex?containerid=231522type%3D1%26q%3D%23当孩子问起死亡该怎么回答%23%26t%3D10&title=%E7%83%AD%E9%97%A8-%23当孩子问起死亡该怎么回答%23,https://s.weibo.com/weibo?q=%23当孩子问起死亡该怎么回答%23,2023-06-08 15:24
